timestamp_utc,symbol,direction,entry_price,exit_price,outcome,pips,opened_at
2026-09-02T23:10:30.463698+00:00,XAUUSD,SELL,4429.39990234375,4430.39990234375,LOSS,-10.0,2026-09-02T22:57:35.199799+00:00
2026-09-02T23:42:00.840676+00:00,USDJPY,SELL,158.83299255371094,158.86299255371094,LOSS,-3.0,2026-09-02T23:10:30.463698+00:00
2026-09-03T00:44:14.750124+00:00,USDJPY,SELL,158.8560028076172,158.80600280761718,WIN,5.0,2026-09-03T00:26:11.126472+00:00
2026-09-03T01:40:12.698947+00:00,EURUSD,SELL,1.1590172052383423,1.1593172052383423,LOSS,-3.0,2026-09-02T22:09:06.923768+00:00
2026-09-03T04:37:42.294195+00:00,EURUSD,SELL,1.1590172052383423,1.1593172052383423,LOSS,-3.0,2026-09-03T02:03:31.399652+00:00,TP/SL
2026-09-03T05:38:14.241297+00:00,XAUUSD,SELL,4469.2001953125,4469.8001953125,LOSS,-6.0,2026-09-03T05:33:57.176614+00:00,LIVE
2026-09-03T05:38:14.241297+00:00,EURUSD,BUY,1.160092830657959,1.1602274179458618,WIN,1.35,2026-09-03T05:33:57.176614+00:00,LIVE
2026-09-03T05:38:14.241297+00:00,USDJPY,BUY,157.66400146484375,157.62400146484376,LOSS,-4.0,2026-09-03T05:33:57.176614+00:00,LIVE
2026-09-03T05:47:55.787884+00:00,XAUUSD,SELL,4470.60009765625,4471.20009765625,LOSS,-6.0,2026-09-03T05:38:14.241297+00:00,LIVE
2026-09-03T05:56:04.900344+00:00,XAUUSD,BUY,4474.7998046875,4475.0498046875,WIN,2.5,2026-09-03T05:47:55.787884+00:00,LIVE
2026-09-03T05:56:04.900344+00:00,GBPUSD,BUY,1.3495277166366577,1.3491277166366578,LOSS,-4.0,2026-09-03T05:33:57.176614+00:00,LIVE
2026-09-03T05:56:04.900344+00:00,USDJPY,BUY,157.60299682617188,157.56299682617188,LOSS,-4.0,2026-09-03T05:38:14.241297+00:00,LIVE
2026-09-03T05:59:08.005938+00:00,XAUUSD,SELL,4477.7001953125,4478.3001953125,LOSS,-6.0,2026-09-03T05:56:04.900344+00:00,LIVE
2026-09-03T05:59:08.005938+00:00,EURUSD,BUY,1.1602274179458618,1.1603620052337646,WIN,1.35,2026-09-03T05:38:14.241297+00:00,LIVE
2026-09-03T06:01:39.494982+00:00,XAUUSD,SELL,4481.60009765625,4482.20009765625,LOSS,-6.0,2026-09-03T05:59:08.005938+00:00,LIVE
2026-09-03T06:31:44.085511+00:00,XAUUSD,SELL,4482.89990234375,4482.64990234375,WIN,2.5,2026-09-03T06:01:39.494982+00:00,LIVE
2026-09-03T06:31:44.085511+00:00,EURUSD,BUY,1.1603620052337646,1.160496711730957,WIN,1.35,2026-09-03T05:59:08.005938+00:00,LIVE
2026-09-03T06:31:44.085511+00:00,USDJPY,BUY,157.4149932861328,157.37499328613282,LOSS,-4.0,2026-09-03T05:56:04.900344+00:00,LIVE
